"Question","Answer"
"키위마켓은 어떤 서비스인가요?","키위마켓은 고객님께서 거주하시는 지역(구 단위) 내에서 중고 물품을 비대면으로 거래할 수 있는 배달 연동 중고 거래 서비스입니다. 판매자와 구매자가 직접 만날 필요 없이 배달 파트너를 통해 안전하게 물품을 주고받을 수 있습니다."
"회원가입은 어떻게 하나요?","이메일 주소를 통해 간편하게 가입하실 수 있습니다. 현재는 이메일 기반 인증만 지원하고 있습니다."
"다른 동네나 다른 구에 있는 물건을 보고 싶어요.","죄송하지만 키위마켓은 '동일 지역(구 단위) 내 거래'를 원칙으로 합니다. 따라서 고객님의 현재 위치 설정 기준으로 배송 가능한 구역 내의 물품만 노출되는 점 양해 부탁드립니다."
"사기 거래가 걱정되는데, 판매자를 신뢰할 수 있나요?","저희는 신뢰 확보를 위해 판매자가 물품 등록 시 상하좌우 사진을 반드시 등록하도록 의무화하고 있습니다. 향후에는 사용자 평점 시스템을 도입하여 더욱 안전한 거래 환경을 만들 예정입니다."
"판매자의 정확한 주소를 알 수 있나요?","개인정보 보호 및 비대면 거래 원칙에 따라 정확한 주소는 공개되지 않습니다. Google 지도를 통해 대략적인 출발지와 도착지만 확인하여 배송 가능 지역인지만 판단할 수 있습니다."
"여러 개를 한 번에 구매하고 싶어요.","현재 거래 시스템은 1:1 채팅을 기반으로 한 개별 거래를 기준으로 설계되었습니다. 여러 물품 구매를 원하실 경우, 판매자와의 채팅을 통해 협의해 주셔야 합니다."
"채팅으로 가격을 흥정해도 되나요?","네, 판매자와 구매자 간의 실시간 채팅을 통해 자유롭게 소통하실 수 있습니다. 가격 협의도 가능합니다."
"사진은 왜 4장(상하좌우)이나 등록해야 하나요?","비대면 거래의 특성상 발생할 수 있는 '물품 상태 불일치' 문제를 최소화하기 위한 정책입니다. 구매자가 물품의 상태를 최대한 정확하게 파악할 수 있도록 상하좌우 사진 등록을 의무화하고 있습니다."
"제가 직접 배송업체를 불러도 되나요?","아니요, 키위마켓의 거래는 저희와 제휴된 지역 오토바이 배달 대행업체와의 연동을 통해 이루어집니다. 이는 원활한 비대면 거래 경험을 제공하기 위함입니다."
"구매자가 채팅에 답이 없는데, 거래를 취소하고 싶어요.","현재 MVP 버전에서는 공식적인 '거래 취소' 기능이 별도로 없습니다. 채팅을 통해 상대방에게 거래 의사를 명확히 전달해 주시고, 응답이 없을 경우 거래를 중단하시면 됩니다."
"'결제 완료'라고 떴는데, 돈이 빠져나가지 않았어요. 오류인가요?","오류가 아닙니다. 현재 키위마켓은 MVP(최소 기능 제품) 버전으로, 실제 결제 기능이 구현되어 있지 않습니다. 화면에 표시되는 '결제 완료'는 거래 흐름을 테스트하기 위한 시뮬레이션일 뿐, 실제 금전 거래는 발생하지 않습니다."
"그럼 물건값은 언제, 어떻게 지불해야 하나요?","현재 버전에서는 플랫폼을 통한 안전 결제나 PG사 연동 기능이 없습니다. 따라서 실제 금전이 오가는 거래는 진행되지 않습니다. 향후 정식 서비스에서 구매자 보호(에스크로) 시스템과 함께 안전한 결제 시스템을 구축할 예정입니다."
"판매자가 계좌이체를 요구합니다. 어떻게 해야 하나요?","(주의!) 현재 키위마켓은 플랫폼 내 결제 기능이 없으며, 개인 간 금융 거래를 권장하거나 보증하지 않습니다. 개인 간 거래로 발생하는 모든 문제에 대해 플랫폼은 책임을 지지 않습니다. 안전한 거래를 위해 향후 도입될 자체 결제 시스템을 기다려 주시길 권장합니다."
"배송비는 누가 부담하나요?","현재 MVP 단계에서는 배송비 정책(판매자/구매자/플랫폼 간 분담 구조)이 아직 확정되지 않았습니다. 이 부분은 향후 계획으로 설정이 필요한 부분입니다."
"배송은 얼마나 걸리나요?","배송은 제휴된 지역 오토바이 배달 대행업체를 통해 이루어지며, 동일 지역(구 단위) 내 배송이므로 일반적으로 빠르게 완료됩니다. 다만 정확한 시간은 도로 상황이나 업체 사정에 따라 달라질 수 있습니다."
"배송 기사님의 연락처나 실시간 위치를 알 수 있나요?","아니요, 현재는 배송 기사님의 정보나 실시간 배송 추적 기능은 제공되지 않습니다. 해당 기능은 향후 도입을 고려하고 있습니다."
"배송 중 물건이 파손되었습니다. 보상받을 수 있나요?","죄송합니다. 현재 MVP 단계에서는 물품 파손에 대한 보험 연계나 플랫폼의 책임 정책이 명시되어 있지 않습니다. 이 부분은 향후 보험 연계를 통해 보완할 예정입니다."
"배송이 엉뚱한 곳으로 갔습니다 (오배송).","오배송의 경우, 책임은 배송을 수행한 배송 대행업체에 있습니다. 저희 키위마켓은 문제 해결을 위해 고객님의 거래 내역 기록을 유지하고 있으며, 필요시 이를 제공하여 도움을 드릴 수 있습니다."
"받은 물건이 판매자가 올린 사진이나 설명과 완전히 다릅니다.","저희는 '물품 상태 불일치'를 방지하기 위해 상하좌우 상세 사진 등록을 의무화하고 있습니다. 그럼에도 문제가 발생한 경우, 현재로서는 채팅을 통해 판매자와 직접 해결을 시도해 주셔야 합니다. 향후 사용자 평점 시스템과 구매자 보호 장치를 도입하여 이런 문제를 줄여나갈 계획입니다."
"언제부터 카드로 결제할 수 있나요?","네, 고객님의 편의와 안전한 거래를 위해 PG사 연동 및 구매자 보호(에스크로) 시스템을 구축할 예정입니다. 정확한 도입 시점은 미정이나, 최대한 빠르게 준비하도록 노력하겠습니다."
"배송 오는 걸 실시간으로 보고 싶어요.","실시간 배송 추적 기능과 배달 기사 평점 기능에 대한 필요성에 공감하며, 향후 도입을 긍정적으로 고려하고 있습니다."
"수수료는 없나요?","현재는 시범 운영 기간으로 별도의 수수료가 없습니다. 향후 정식 서비스에서는 거래 수수료, 광고, 프리미엄 노출 등 다양한 수익 모델을 검토할 예정입니다."